Emploi du temps : 2022-2023- Formation : ING3 semaine B - Option CS Groupe2,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 12/09/2022,,mardi 13/09/2022,,mercredi 14/09/2022,,jeudi 15/09/2022,,vendredi 16/09/2022
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 19/09/2022,,mardi 20/09/2022,,mercredi 21/09/2022,,jeudi 22/09/2022,,vendredi 23/09/2022
,Accueil + Cryptographie,,"Nahco3
Reverse Engineering (rétro-ingénerie)
de 10h à 18h",,"Nahco3
Détection & Analyse des vulnérabilités 
(Detection & Analysis of vulnerabilities)
de 10h à 18h",,"Nahco3
Détection & Analyse des vulnérabilités 
(Detection & Analysis of vulnerabilities)
de 10h à 18h",,"Nahco3
Détection & Analyse des vulnérabilités 
(Detection & Analysis of vulnerabilities)
de 10h à 18h"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 26/09/2022,,mardi 27/09/2022,,mercredi 28/09/2022,,jeudi 29/09/2022,,vendredi 30/09/2022
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 03/10/2022,,mardi 04/10/2022,,mercredi 05/10/2022,,jeudi 06/10/2022,,vendredi 07/10/2022
,Cryptographie,,ISO 2700x,,"Nahco3
Reverse Engineering (rétro-ingénerie)
de 10h à 18h",,,,Cours Securité du matériel au logiciel
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 10/10/2022,,mardi 11/10/2022,,mercredi 12/10/2022,,jeudi 13/10/2022,,vendredi 14/10/2022
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 17/10/2022,,mardi 18/10/2022,,mercredi 19/10/2022,,jeudi 20/10/2022,,vendredi 21/10/2022
,Cryptographie,,"Nahco3
Sécurité des systèmes industriels (SCADA) 
(Security of industrial systems (SCADA))
de 10h à 18h",,"Nahco3
Sécurité des systèmes industriels (SCADA) 
(Security of industrial systems (SCADA))
de 10h à 18h",,Cryptographie,,ISO 2700x
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 24/10/2022,,mardi 25/10/2022,,mercredi 26/10/2022,,jeudi 27/10/2022,,vendredi 28/10/2022
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Semaine 31/10 - Vacances de la Toussaint,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 07/11/2022,,mardi 08/11/2022,,mercredi 09/11/2022,,jeudi 10/11/2022,,vendredi 11/11/2022
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 14/11/2022,,mardi 15/11/2022,,mercredi 16/11/2022,,jeudi 17/11/2022,,vendredi 18/11/2022
,Cryptographie,,Cours Securité du matériel au logiciel,,"Nahco3
Tests d'intrusion 
(PenTest)
de 10h à 18h",,"Nahco3
Tests d'intrusion 
(PenTest)
de 10h à 18h",,"Nahco3
Tests d'intrusion 
(PenTest)
de 10h à 18h"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 21/11/2022,,mardi 22/11/2022,,mercredi 23/11/2022,,jeudi 24/11/2022,,vendredi 25/11/2022
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 28/11/2022,,mardi 29/11/2022,,mercredi 30/11/2022,,jeudi 01/12/2022,,vendredi 02/12/2022
,"Harmononie Technologie 
Blockchain
",,ISO 2700x,,"Nahco3
Reverse Engineering (rétro-ingénerie)
de 10h à 18h",,"Nahco3
Reverse Engineering (rétro-ingénerie)
de 10h à 18h",,ISO 2700x
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ATTENTION : Jour commun donc cours en distanciel. ,,,,,,,,
,lundi 05/12/2022,,mardi 06/12/2022,,mercredi 07/12/2022,,jeudi 08/12/2022,,vendredi 09/12/2022
